date,league,season,index,round,home_team,away_team,home_goals,away_goals,home_goals_first_half,away_goals_first_half,link,spectators
2018-04-02,Meisterschaft,2017-18,908,,YB,Basel,2,2,1,1,http://www.bscyb.ch/news-events?nID=7836,31120
2018-04-08,Meisterschaft,2017-18,909,,St. Gallen,YB,2,4,2,2,http://www.bscyb.ch/news-events?nID=7844,17572
2018-04-15,Meisterschaft,2017-18,910,,YB,Zürich,1,0,0,0,http://www.bscyb.ch/news-events?nID=7855,26702
2018-04-18,Meisterschaft,2017-18,911,,Thun,YB,2,2,1,0,http://www.bscyb.ch/news-events?nID=7863,10014
2018-04-22,Meisterschaft,2017-18,912,,YB,Lausanne Kids Day,4,1,3,0,http://www.bscyb.ch/news-events?nID=7871,26506
2018-04-28,Meisterschaft,2017-18,913,,YB,Luzern,2,1,0,0,,
2018-05-05,Meisterschaft,2017-18,914,,Sion,YB,0,1,0,0,http://www.bscyb.ch/news-events?nID=7899,13800
2018-05-10,Meisterschaft,2017-18,915,,Basel,YB,5,1,2,0,http://www.bscyb.ch/news-events?nID=7908,29100
2018-05-13,Meisterschaft,2017-18,916,,YB,Lugano,3,1,1,1,http://www.bscyb.ch/news-events?nID=7919,31120
2018-05-19,Meisterschaft,2017-18,917,,GC,YB,1,2,0,0,http://www.bscyb.ch/news-events?nID=7929,8500
2018-05-27,Schweizer Cupfinal,2017-18,918,,Zürich,YB,2,1,1,0,http://www.bscyb.ch/news-events?nID=7939,30000
